kind,name,width,default_gate,default_delay,gate_cost,delay_cost,score_source,gate_formula,delay_formula,component_gate_dependency,component_delay_dependency,slot,hash
0,com_none,1,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,2,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,3,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,4,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,5,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,6,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,7,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,8,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,9,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,10,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,11,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,12,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,13,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,14,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,15,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,16,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,17,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,18,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,19,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,20,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,21,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,22,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,23,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,24,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,25,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,26,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,27,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,28,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,29,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,30,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,31,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,32,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,33,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,34,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,35,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,36,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,37,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,38,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,39,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,40,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,41,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,42,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,43,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,44,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,45,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,46,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,47,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,48,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,49,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
0,com_none,50,0,0,0,0,default_table,b,b,,,105,0xad8f7077779c7c69
